id,category,template,prompt,city,slot_name,slot_value,standard_id,standard_name,standard_basis,selection_basis,post_collection_filter
P040,商品,给我推荐五款{{产品}},给我推荐五款家用投影仪,,产品,家用投影仪,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P041,商品,给我推荐五款{{产品}},给我推荐五款家用空调,,产品,家用空调,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P042,商品,给我推荐五款{{产品}},给我推荐五款中央空调,,产品,中央空调,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P043,商品,给我推荐五款{{产品}},给我推荐五款冰箱,,产品,冰箱,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P044,商品,给我推荐五款{{产品}},给我推荐五款对开门冰箱,,产品,对开门冰箱,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P045,商品,给我推荐五款{{产品}},给我推荐五款洗衣机,,产品,洗衣机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P046,商品,给我推荐五款{{产品}},给我推荐五款洗烘一体机,,产品,洗烘一体机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P047,商品,给我推荐五款{{产品}},给我推荐五款热泵烘干机,,产品,热泵烘干机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P048,商品,给我推荐五款{{产品}},给我推荐五款电视,,产品,电视,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P049,商品,给我推荐五款{{产品}},给我推荐五款激光电视,,产品,激光电视,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P050,商品,给我推荐五款{{产品}},给我推荐五款壁挂炉,,产品,壁挂炉,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P051,商品,给我推荐五款{{产品}},给我推荐五款燃气热水器,,产品,燃气热水器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P052,商品,给我推荐五款{{产品}},给我推荐五款电热水器,,产品,电热水器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P053,商品,给我推荐五款{{产品}},给我推荐五款空气能热水器,,产品,空气能热水器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P054,商品,给我推荐五款{{产品}},给我推荐五款洗碗机,,产品,洗碗机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P055,商品,给我推荐五款{{产品}},给我推荐五款消毒柜,,产品,消毒柜,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P056,商品,给我推荐五款{{产品}},给我推荐五款集成灶,,产品,集成灶,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P057,商品,给我推荐五款{{产品}},给我推荐五款燃气灶,,产品,燃气灶,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P058,商品,给我推荐五款{{产品}},给我推荐五款油烟机,,产品,油烟机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P059,商品,给我推荐五款{{产品}},给我推荐五款厨房空调,,产品,厨房空调,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P060,商品,给我推荐五款{{产品}},给我推荐五款家用冷柜,,产品,家用冷柜,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-大家电类,家庭耐用品；单价较高；质量、能效、安装和售后影响大,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P061,商品,给我推荐五款{{产品}},给我推荐五款扫地机器人,,产品,扫地机器人,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P062,商品,给我推荐五款{{产品}},给我推荐五款洗地机,,产品,洗地机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P063,商品,给我推荐五款{{产品}},给我推荐五款吸尘器,,产品,吸尘器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P064,商品,给我推荐五款{{产品}},给我推荐五款除螨仪,,产品,除螨仪,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P065,商品,给我推荐五款{{产品}},给我推荐五款空气净化器,,产品,空气净化器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P066,商品,给我推荐五款{{产品}},给我推荐五款新风系统,,产品,新风系统,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P067,商品,给我推荐五款{{产品}},给我推荐五款加湿器,,产品,加湿器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P068,商品,给我推荐五款{{产品}},给我推荐五款除湿机,,产品,除湿机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P069,商品,给我推荐五款{{产品}},给我推荐五款净水器,,产品,净水器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P070,商品,给我推荐五款{{产品}},给我推荐五款软水机,,产品,软水机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P071,商品,给我推荐五款{{产品}},给我推荐五款前置过滤器,,产品,前置过滤器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P072,商品,给我推荐五款{{产品}},给我推荐五款垃圾处理器,,产品,垃圾处理器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P073,商品,给我推荐五款{{产品}},给我推荐五款智能门锁,,产品,智能门锁,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P074,商品,给我推荐五款{{产品}},给我推荐五款智能安防摄像头,,产品,智能安防摄像头,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P075,商品,给我推荐五款{{产品}},给我推荐五款智能晾衣机,,产品,智能晾衣机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P076,商品,给我推荐五款{{产品}},给我推荐五款电动窗帘,,产品,电动窗帘,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P077,商品,给我推荐五款{{产品}},给我推荐五款全屋智能网关,,产品,全屋智能网关,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P078,商品,给我推荐五款{{产品}},给我推荐五款家用安防套装,,产品,家用安防套装,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P079,商品,给我推荐五款{{产品}},给我推荐五款智能马桶盖,,产品,智能马桶盖,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P080,商品,给我推荐五款{{产品}},给我推荐五款智能马桶,,产品,智能马桶,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-清洁环境与智能家居类,新兴高增长品类；体验和故障率差异明显；测评和榜单内容多,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P081,商品,给我推荐五款{{产品}},给我推荐五款电饭煲,,产品,电饭煲,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-厨房小家电类,高频使用；品牌、材料、安全和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P082,商品,给我推荐五款{{产品}},给我推荐五款电压力锅,,产品,电压力锅,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-厨房小家电类,高频使用；品牌、材料、安全和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P083,商品,给我推荐五款{{产品}},给我推荐五款破壁机,,产品,破壁机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-厨房小家电类,高频使用；品牌、材料、安全和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P084,商品,给我推荐五款{{产品}},给我推荐五款豆浆机,,产品,豆浆机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-厨房小家电类,高频使用；品牌、材料、安全和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P085,商品,给我推荐五款{{产品}},给我推荐五款全自动咖啡机,,产品,全自动咖啡机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-厨房小家电类,高频使用；品牌、材料、安全和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P086,商品,给我推荐五款{{产品}},给我推荐五款半自动咖啡机,,产品,半自动咖啡机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-厨房小家电类,高频使用；品牌、材料、安全和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P087,商品,给我推荐五款{{产品}},给我推荐五款胶囊咖啡机,,产品,胶囊咖啡机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-厨房小家电类,高频使用；品牌、材料、安全和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P088,商品,给我推荐五款{{产品}},给我推荐五款空气炸锅,,产品,空气炸锅,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-厨房小家电类,高频使用；品牌、材料、安全和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P089,商品,给我推荐五款{{产品}},给我推荐五款蒸烤一体机,,产品,蒸烤一体机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-厨房小家电类,高频使用；品牌、材料、安全和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
