id,category,template,prompt,city,slot_name,slot_value,standard_id,standard_name,standard_basis,post_collection_filter
P052,商品,给我推荐五款{{产品}},给我推荐五款冰箱,,产品,冰箱,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P053,商品,给我推荐五款{{产品}},给我推荐五款洗衣机,,产品,洗衣机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P054,商品,给我推荐五款{{产品}},给我推荐五款烘干机,,产品,烘干机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P055,商品,给我推荐五款{{产品}},给我推荐五款洗烘一体机,,产品,洗烘一体机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P056,商品,给我推荐五款{{产品}},给我推荐五款电视,,产品,电视,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P057,商品,给我推荐五款{{产品}},给我推荐五款投影仪,,产品,投影仪,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P058,商品,给我推荐五款{{产品}},给我推荐五款扫地机器人,,产品,扫地机器人,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P059,商品,给我推荐五款{{产品}},给我推荐五款洗地机,,产品,洗地机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P060,商品,给我推荐五款{{产品}},给我推荐五款吸尘器,,产品,吸尘器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P061,商品,给我推荐五款{{产品}},给我推荐五款空气净化器,,产品,空气净化器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P062,商品,给我推荐五款{{产品}},给我推荐五款新风机,,产品,新风机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P063,商品,给我推荐五款{{产品}},给我推荐五款加湿器,,产品,加湿器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P064,商品,给我推荐五款{{产品}},给我推荐五款除湿机,,产品,除湿机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P065,商品,给我推荐五款{{产品}},给我推荐五款电饭煲,,产品,电饭煲,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P066,商品,给我推荐五款{{产品}},给我推荐五款电压力锅,,产品,电压力锅,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P067,商品,给我推荐五款{{产品}},给我推荐五款电磁炉,,产品,电磁炉,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P068,商品,给我推荐五款{{产品}},给我推荐五款微波炉,,产品,微波炉,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P069,商品,给我推荐五款{{产品}},给我推荐五款烤箱,,产品,烤箱,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P070,商品,给我推荐五款{{产品}},给我推荐五款空气炸锅,,产品,空气炸锅,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P071,商品,给我推荐五款{{产品}},给我推荐五款破壁机,,产品,破壁机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P072,商品,给我推荐五款{{产品}},给我推荐五款豆浆机,,产品,豆浆机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P073,商品,给我推荐五款{{产品}},给我推荐五款咖啡机,,产品,咖啡机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P074,商品,给我推荐五款{{产品}},给我推荐五款电水壶,,产品,电水壶,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P075,商品,给我推荐五款{{产品}},给我推荐五款净水器,,产品,净水器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P076,商品,给我推荐五款{{产品}},给我推荐五款热水器,,产品,热水器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P077,商品,给我推荐五款{{产品}},给我推荐五款燃气灶,,产品,燃气灶,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P078,商品,给我推荐五款{{产品}},给我推荐五款油烟机,,产品,油烟机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P079,商品,给我推荐五款{{产品}},给我推荐五款消毒柜,,产品,消毒柜,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P080,商品,给我推荐五款{{产品}},给我推荐五款洗碗机,,产品,洗碗机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P081,商品,给我推荐五款{{产品}},给我推荐五款智能门锁,,产品,智能门锁,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P082,商品,给我推荐五款{{产品}},给我推荐五款电暖器,,产品,电暖器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P083,商品,给我推荐五款{{产品}},给我推荐五款电风扇,,产品,电风扇,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P084,商品,给我推荐五款{{产品}},给我推荐五款挂烫机,,产品,挂烫机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P085,商品,给我推荐五款{{产品}},给我推荐五款衣物护理机,,产品,衣物护理机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
P086,商品,给我推荐五款{{产品}},给我推荐五款手机,,产品,手机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P087,商品,给我推荐五款{{产品}},给我推荐五款平板电脑,,产品,平板电脑,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P088,商品,给我推荐五款{{产品}},给我推荐五款笔记本电脑,,产品,笔记本电脑,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P089,商品,给我推荐五款{{产品}},给我推荐五款台式电脑,,产品,台式电脑,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P090,商品,给我推荐五款{{产品}},给我推荐五款显示器,,产品,显示器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P091,商品,给我推荐五款{{产品}},给我推荐五款键盘,,产品,键盘,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P092,商品,给我推荐五款{{产品}},给我推荐五款鼠标,,产品,鼠标,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P093,商品,给我推荐五款{{产品}},给我推荐五款路由器,,产品,路由器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P094,商品,给我推荐五款{{产品}},给我推荐五款蓝牙耳机,,产品,蓝牙耳机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P095,商品,给我推荐五款{{产品}},给我推荐五款头戴式耳机,,产品,头戴式耳机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P096,商品,给我推荐五款{{产品}},给我推荐五款智能手表,,产品,智能手表,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P097,商品,给我推荐五款{{产品}},给我推荐五款智能手环,,产品,智能手环,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P098,商品,给我推荐五款{{产品}},给我推荐五款运动相机,,产品,运动相机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P099,商品,给我推荐五款{{产品}},给我推荐五款家用摄像头,,产品,家用摄像头,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P100,商品,给我推荐五款{{产品}},给我推荐五款行车记录仪,,产品,行车记录仪,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P101,商品,给我推荐五款{{产品}},给我推荐五款电子阅读器,,产品,电子阅读器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P102,商品,给我推荐五款{{产品}},给我推荐五款移动硬盘,,产品,移动硬盘,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P103,商品,给我推荐五款{{产品}},给我推荐五款固态硬盘,,产品,固态硬盘,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P104,商品,给我推荐五款{{产品}},给我推荐五款内存条,,产品,内存条,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P105,商品,给我推荐五款{{产品}},给我推荐五款充电宝,,产品,充电宝,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P106,商品,给我推荐五款{{产品}},给我推荐五款快充充电器,,产品,快充充电器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P107,商品,给我推荐五款{{产品}},给我推荐五款数据线,,产品,数据线,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P108,商品,给我推荐五款{{产品}},给我推荐五款手机壳,,产品,手机壳,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P109,商品,给我推荐五款{{产品}},给我推荐五款手机膜,,产品,手机膜,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P110,商品,给我推荐五款{{产品}},给我推荐五款打印机,,产品,打印机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P111,商品,给我推荐五款{{产品}},给我推荐五款标签打印机,,产品,标签打印机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P112,商品,给我推荐五款{{产品}},给我推荐五款扫描仪,,产品,扫描仪,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P113,商品,给我推荐五款{{产品}},给我推荐五款无人机,,产品,无人机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P114,商品,给我推荐五款{{产品}},给我推荐五款游戏手柄,,产品,游戏手柄,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P115,商品,给我推荐五款{{产品}},给我推荐五款游戏掌机,,产品,游戏掌机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P116,商品,给我推荐五款{{产品}},给我推荐五款录音笔,,产品,录音笔,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P117,商品,给我推荐五款{{产品}},给我推荐五款翻译笔,,产品,翻译笔,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P118,商品,给我推荐五款{{产品}},给我推荐五款儿童电话手表,,产品,儿童电话手表,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P119,商品,给我推荐五款{{产品}},给我推荐五款智能音箱,,产品,智能音箱,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P120,商品,给我推荐五款{{产品}},给我推荐五款会议摄像头,,产品,会议摄像头,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-数码电子类,采集后剔除英文流和视频流；题面不添加排除词
P121,商品,给我推荐五款{{产品}},给我推荐五款床垫,,产品,床垫,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家居厨具类,采集后剔除英文流和视频流；题面不添加排除词
